%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606987139599372172,9847,1606987139599176463,world,2690413.4813,1194453.1914,435.8327
1606987139710287391,9848,1606987139710052171,world,2690413.4808,1194453.1916,435.8327
1606987139886327318,9849,1606987139886049737,world,2690413.4814,1194453.1914,435.8326
1606987139992231276,9850,1606987139991941093,world,2690413.4812,1194453.1914,435.8327
1606987140046013541,9851,1606987140045765336,world,2690413.4813,1194453.1914,435.8327
1606987140190351861,9852,1606987140189959939,world,2690413.4813,1194453.1914,435.8327
1606987140290608718,9853,1606987140290455388,world,2690413.4811,1194453.1914,435.8326
1606987140481631840,9854,1606987140481360386,world,2690413.4811,1194453.1914,435.8326
1606987140554529268,9855,1606987140554277971,world,2690413.481,1194453.1915,435.8326
1606987140711449345,9856,1606987140711210234,world,2690413.4811,1194453.1915,435.8326
1606987140862026303,9857,1606987140861934635,world,2690413.4811,1194453.1914,435.8326
1606987140983997288,9858,1606987140983867751,world,2690413.4813,1194453.1914,435.8326
1606987141172841527,9859,1606987141172693752,world,2690413.4812,1194453.1915,435.8326
1606987141311862306,9860,1606987141311674776,world,2690413.4816,1194453.1913,435.8325
1606987141371715638,9861,1606987141371560360,world,2690413.4811,1194453.1915,435.8325
1606987141430742753,9862,1606987141430492168,world,2690413.4816,1194453.1914,435.8326
1606987141533694102,9863,1606987141533433282,world,2690413.4811,1194453.1914,435.8327
1606987141805444941,9864,1606987141805243266,world,2690413.4813,1194453.1914,435.8326
1606987141947334262,9865,1606987141947136601,world,2690413.4812,1194453.1914,435.8327
1606987142068056480,9866,1606987142067890082,world,2690413.4811,1194453.1914,435.8326
1606987142141155580,9867,1606987142140958734,world,2690413.4813,1194453.1914,435.8326
1606987142257800918,9868,1606987142257702266,world,2690413.4812,1194453.1914,435.8326
1606987142400907317,9869,1606987142400707444,world,2690413.4809,1194453.1915,435.8327
1606987142538729422,9870,1606987142538541450,world,2690413.4818,1194453.1913,435.8326
1606987142663778653,9871,1606987142663534251,world,2690413.4815,1194453.1913,435.8326
1606987142751536006,9872,1606987142751391426,world,2690413.4816,1194453.1913,435.8326
1606987142886472685,9873,1606987142886278705,world,2690413.4816,1194453.1913,435.8326
1606987143009323435,9874,1606987143009118399,world,2690413.481,1194453.1914,435.8326
1606987143145106960,9875,1606987143144969613,world,2690413.4816,1194453.1913,435.8326
1606987143273310977,9876,1606987143273030577,world,2690413.4816,1194453.1914,435.8325
1606987143383964841,9877,1606987143383791256,world,2690413.481,1194453.1914,435.8326
1606987143612790826,9878,1606987143612615516,world,2690413.4813,1194453.1914,435.8326
1606987143796600361,9879,1606987143796407493,world,2690413.4808,1194453.1916,435.8326
1606987143955579280,9880,1606987143955372630,world,2690413.4812,1194453.1915,435.8326
1606987144056523557,9881,1606987144056282446,world,2690413.4808,1194453.1915,435.8326
1606987144215301406,9882,1606987144215096784,world,2690413.4814,1194453.1913,435.8326
1606987144316256066,9883,1606987144316070853,world,2690413.4812,1194453.1914,435.8326
1606987144380226961,9884,1606987144380039083,world,2690413.4813,1194453.1914,435.8326
1606987144421232093,9885,1606987144420992232,world,2690413.4813,1194453.1914,435.8327
1606987144484996577,9886,1606987144484829964,world,2690413.4813,1194453.1913,435.8326
1606987144591871618,9887,1606987144591711484,world,2690413.4815,1194453.1913,435.8326
1606987144694897645,9888,1606987144694669523,world,2690413.4812,1194453.1914,435.8326
1606987144870767652,9889,1606987144870570916,world,2690413.4814,1194453.1913,435.8326
1606987144950565527,9890,1606987144950399055,world,2690413.481,1194453.1914,435.8327
1606987145089416280,9891,1606987145089260114,world,2690413.481,1194453.1914,435.8327
1606987145193597877,9892,1606987145193331414,world,2690413.4816,1194453.1912,435.8326
1606987145337195928,9893,1606987145337034407,world,2690413.4813,1194453.1913,435.8327
1606987145470991252,9894,1606987145470880048,world,2690413.4807,1194453.1915,435.8326
1606987145542165878,9895,1606987145541972317,world,2690413.4805,1194453.1915,435.8326
1606987145691039632,9896,1606987145690803951,world,2690413.4812,1194453.1914,435.8325
1606987145802906475,9897,1606987145802713610,world,2690413.4809,1194453.1915,435.8326
1606987145999750929,9898,1606987145999552714,world,2690413.4808,1194453.1916,435.8326
1606987146095503433,9899,1606987146095347679,world,2690413.4811,1194453.1916,435.8325
1606987146143561445,9900,1606987146143391763,world,2690413.4811,1194453.1916,435.8325
1606987146302578921,9901,1606987146302326222,world,2690413.4812,1194453.1917,435.8325
1606987146461322144,9902,1606987146461133615,world,2690413.4814,1194453.1915,435.8325
1606987146565187120,9903,1606987146564942403,world,2690413.4814,1194453.1916,435.8326
1606987146658195371,9904,1606987146657973670,world,2690413.4813,1194453.1916,435.8325
1606987146815828518,9905,1606987146815687523,world,2690413.481,1194453.1917,435.8325
1606987146991802746,9906,1606987146991576176,world,2690413.4809,1194453.1916,435.8326
1606987147082757414,9907,1606987147082523507,world,2690413.4811,1194453.1916,435.8326
1606987147162589835,9908,1606987147162413751,world,2690413.4813,1194453.1915,435.8326
1606987147249519109,9909,1606987147249356209,world,2690413.4809,1194453.1917,435.8326
1606987147425394398,9910,1606987147425178785,world,2690413.4813,1194453.1916,435.8325
1606987147548337063,9911,1606987147548151681,world,2690413.4815,1194453.1915,435.8325
1606987147676217791,9912,1606987147676020472,world,2690413.4816,1194453.1915,435.8325
1606987147750049904,9913,1606987147749867979,world,2690413.481,1194453.1917,435.8326
1606987147902899601,9914,1606987147902708889,world,2690413.4815,1194453.1915,435.8325
1606987147989948032,9915,1606987147989763980,world,2690413.4812,1194453.1916,435.8326
1606987148139686574,9916,1606987148139520993,world,2690413.4812,1194453.1916,435.8326
1606987148267738335,9917,1606987148267535462,world,2690413.4809,1194453.1916,435.8326
1606987148379493294,9918,1606987148379310365,world,2690413.4812,1194453.1915,435.8326
1606987148504704803,9919,1606987148504352259,world,2690413.4815,1194453.1915,435.8325
