%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1606990543658901049,3677939,1606986942933163267,imu_link,-0.002498967107385397,0.006730979308485985,-0.3633832335472107,0.9316121339797974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.62031555175781,0.6145180463790894,-0.5470990538597107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010187369771301746,0.0057630049996078014,0.09166258573532104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543658922119,3677940,1606986942933312532,imu_link,-0.002498967107385397,0.006730979308485985,-0.3633832335472107,0.9316121339797974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.62031555175781,0.6145180463790894,-0.5470990538597107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010187369771301746,0.0057630049996078014,0.09166258573532104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543658932631,3677941,1606986942933459837,imu_link,-0.0024990227539092302,0.006732911337167025,-0.3633834421634674,0.931611955165863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.6203498840332,0.6147218346595764,-0.5471856594085693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012510792352259159,-0.009392333216965199,0.09065961837768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543658946607,3677942,1606986942933590327,imu_link,-0.0024990227539092302,0.006732911337167025,-0.3633834421634674,0.931611955165863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.6203498840332,0.6147218346595764,-0.5471856594085693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012510792352259159,-0.009392333216965199,0.09065961837768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543678790963,3677943,1606986942933712842,imu_link,-0.0025013263802975416,0.006732144858688116,-0.36338481307029724,0.9316114187240601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.620513916015625,0.6145433187484741,-0.5474005937576294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010968348011374474,0.0062875584699213505,0.0672387108206749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543678811082,3677944,1606986942933856314,imu_link,-0.0025013263802975416,0.006732144858688116,-0.36338481307029724,0.9316114187240601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.620513916015625,0.6145433187484741,-0.5474005937576294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010968348011374474,0.0062875584699213505,0.0672387108206749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543678824529,3677945,1606986942933990962,imu_link,-0.0025039403699338436,0.006729384884238243,-0.3633835017681122,0.9316120147705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.6203498840332,0.6141405701637268,-0.5475636720657349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011900996789336205,0.021195122972130775,0.04016396775841713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543678841312,3677946,1606986942934110743,imu_link,-0.0025039403699338436,0.006729384884238243,-0.3633835017681122,0.9316120147705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.6203498840332,0.6141405701637268,-0.5475636720657349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011900996789336205,0.021195122972130775,0.04016396775841713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543813582171,3677947,1606986942934219640,imu_link,-0.002504149917513132,0.006730778142809868,-0.3633856773376465,0.9316111207008362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.62062454223633,0.6142792701721191,-0.5476455688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005758761544711888,0.02171006239950657,0.0201322790235281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606990543813720534,3677948,1606986942934327745,imu_link,-0.002504149917513132,0.006730778142809868,-0.3633856773376465,0.9316111207008362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.62062454223633,0.6142792701721191,-0.5476455688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005758761544711888,0.02171006239950657,0.0201322790235281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
