%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606990327225381329,1371,1606990327145544476,world,2690400.7369,1194450.7537,436.2309
1606990327225616122,1372,1606990327225380047,world,2690400.7369,1194450.7537,436.2309
1606990327438516666,1373,1606990327438224657,world,2690400.7369,1194450.7536,436.2309
1606990327496484456,1374,1606990327496236971,world,2690400.7369,1194450.754,436.2309
1606990327687443525,1375,1606990327687124609,world,2690400.7369,1194450.7539,436.2309
1606990327836127046,1376,1606990327835927929,world,2690400.7369,1194450.7539,436.2309
1606990327892144359,1377,1606990327891887871,world,2690400.7369,1194450.754,436.2309
1606990328034053565,1378,1606990328033779886,world,2690400.7369,1194450.7536,436.2309
1606990328121056154,1379,1606990328120765957,world,2690400.7369,1194450.7537,436.2309
1606990328216940895,1380,1606990328216668030,world,2690400.7369,1194450.7534,436.2309
1606990328321872082,1381,1606990328321606466,world,2690400.7369,1194450.7539,436.2309
1606990328406886744,1382,1606990328406570057,world,2690400.7369,1194450.754,436.2309
1606990328518798555,1383,1606990328518435995,world,2690400.7369,1194450.7538,436.2309
1606990328677746039,1384,1606990328677375243,world,2690400.7369,1194450.7539,436.2309
1606990328811240176,1385,1606990328811055697,world,2690400.7369,1194450.7536,436.2309
1606990328875545337,1386,1606990328875181156,world,2690400.7369,1194450.7538,436.2309
1606990329000307528,1387,1606990329000050631,world,2690400.7369,1194450.7538,436.2309
1606990329158145317,1388,1606990329157896708,world,2690400.7369,1194450.7538,436.2309
1606990329243062210,1389,1606990329242782519,world,2690400.7369,1194450.7537,436.2309
1606990329408823653,1390,1606990329408608945,world,2690400.7369,1194450.7537,436.2309
1606990329498016078,1391,1606990329497656767,world,2690400.7369,1194450.7537,436.2309
1606990329625681029,1392,1606990329625370832,world,2690400.7369,1194450.7538,436.2309
1606990329719512885,1393,1606990329719263641,world,2690400.7369,1194450.754,436.2309
1606990329809471057,1394,1606990329809226862,world,2690400.7369,1194450.7538,436.2309
1606990329999507590,1395,1606990329999171342,world,2690400.7369,1194450.754,436.2309
1606990330079380705,1396,1606990330079094350,world,2690400.7369,1194450.7538,436.2309
1606990330202107650,1397,1606990330201873907,world,2690400.737,1194450.754,436.2309
1606990330343133756,1398,1606990330342800119,world,2690400.7379,1194450.7542,436.2309
1606990330483916729,1399,1606990330483694221,world,2690400.7403,1194450.7558,436.231
1606990330818589992,1400,1606990330818331413,world,2690400.7427,1194450.7575,436.2311
1606990330914560592,1401,1606990330914344596,world,2690400.7477,1194450.7611,436.2313
1606990330989317938,1402,1606990330989120453,world,2690400.7539,1194450.7656,436.2316
1606990331197348296,1403,1606990331197053604,world,2690400.7642,1194450.7722,436.2319
1606990331293388622,1404,1606990331293059349,world,2690400.7777,1194450.7816,436.232
1606990331322248111,1405,1606990331321931191,world,2690400.7946,1194450.794,436.2315
1606990331430098729,1406,1606990331429828607,world,2690400.8161,1194450.8093,436.2322
1606990331526084858,1407,1606990331525780392,world,2690400.837,1194450.8245,436.2329
1606990331573842366,1408,1606990331573710337,world,2690400.8559,1194450.8362,436.2339
1606990331693915355,1409,1606990331693661880,world,2690400.8798,1194450.8533,436.2334
1606990331794638623,1410,1606990331794422157,world,2690400.9159,1194450.8788,436.232
1606990331869863804,1411,1606990331869545559,world,2690400.9546,1194450.9031,436.2322
1606990332008726548,1412,1606990332008358698,world,2690400.9914,1194450.9248,436.2328
1606990332087443672,1413,1606990332087244041,world,2690401.0281,1194450.9458,436.2328
1606990332182268702,1414,1606990332182060882,world,2690401.0642,1194450.975,436.2315
1606990332347255631,1415,1606990332346992429,world,2690401.1065,1194450.9974,436.2311
1606990332432059340,1416,1606990332431883458,world,2690401.1455,1194451.0241,436.2318
1606990332634255106,1417,1606990332633868674,world,2690401.1818,1194451.0511,436.2326
1606990332703097900,1418,1606990332702772160,world,2690401.2194,1194451.0753,436.2317
1606990332796896711,1419,1606990332796622646,world,2690401.258,1194451.1009,436.2303
1606990332952869842,1420,1606990332952571886,world,2690401.3022,1194451.1231,436.2292
1606990333012612379,1421,1606990333012396735,world,2690401.339,1194451.1455,436.2285
1606990333139657187,1422,1606990333139363963,world,2690401.3738,1194451.1709,436.2283
1606990333267383191,1423,1606990333267206591,world,2690401.4102,1194451.1938,436.228
1606990333401213081,1424,1606990333401040809,world,2690401.4423,1194451.2159,436.2281
1606990333488143232,1425,1606990333487995942,world,2690401.4763,1194451.2417,436.2272
1606990333669312797,1426,1606990333669050127,world,2690401.5212,1194451.28,436.2256
1606990333845517221,1427,1606990333845001760,world,2690401.5623,1194451.3087,436.2255
