%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606989742320073622,683,1606989742202597474,world,2690399.7297,1194449.9684,436.2458
1606989742369807971,684,1606989742369484193,world,2690399.7297,1194449.9681,436.2458
1606989742567635499,685,1606989742567375467,world,2690399.7297,1194449.9682,436.2458
1606989742636526863,686,1606989742636305020,world,2690399.7297,1194449.9682,436.2458
1606989742924262621,687,1606989742924022532,world,2690399.7297,1194449.9681,436.2458
1606989742955197983,688,1606989742954961429,world,2690399.7297,1194449.9681,436.2458
1606989742980406675,689,1606989742980071452,world,2690399.7297,1194449.9682,436.2458
1606989743022000737,690,1606989743021803560,world,2690399.7297,1194449.9682,436.2458
1606989743166320454,691,1606989743165944792,world,2690399.7297,1194449.9682,436.2458
1606989743246211078,692,1606989743245858904,world,2690399.7297,1194449.9681,436.2458
1606989743371046260,693,1606989743370709430,world,2690399.7297,1194449.9681,436.2458
1606989743494713837,694,1606989743494497827,world,2690399.7297,1194449.9682,436.2458
1606989743579578979,695,1606989743579354303,world,2690399.7297,1194449.9683,436.2458
1606989743754758000,696,1606989743754383185,world,2690399.7297,1194449.9684,436.2458
1606989743855509862,697,1606989743855242484,world,2690399.7297,1194449.9682,436.2458
1606989743999244121,698,1606989743999036131,world,2690399.7297,1194449.9683,436.2458
1606989744095269356,699,1606989744095016812,world,2690399.7297,1194449.9682,436.2458
1606989744215200434,700,1606989744214883525,world,2690399.7297,1194449.968,436.2458
1606989744291105022,701,1606989744290844021,world,2690399.7297,1194449.9683,436.2458
1606989744415326976,702,1606989744414915570,world,2690399.7297,1194449.9683,436.2458
1606989744558006752,703,1606989744557719925,world,2690399.7297,1194449.9683,436.2458
1606989744637906241,704,1606989744637656924,world,2690399.7297,1194449.9681,436.2458
1606989744821924901,705,1606989744821543070,world,2690399.7297,1194449.9682,436.2458
1606989744869597632,706,1606989744869392537,world,2690399.7297,1194449.9682,436.2458
1606989744980467553,707,1606989744980261374,world,2690399.7298,1194449.9683,436.2458
1606989745165219491,708,1606989745165026348,world,2690399.7298,1194449.9686,436.2459
1606989745268193295,709,1606989745267985884,world,2690399.7297,1194449.9681,436.2458
1606989745380319079,710,1606989745379975052,world,2690399.7297,1194449.9682,436.2458
1606989745524004889,711,1606989745523714861,world,2690399.7297,1194449.9682,436.2458
1606989745604025331,712,1606989745603750140,world,2690399.7297,1194449.9682,436.2458
1606989745748113565,713,1606989745747727373,world,2690399.7297,1194449.9682,436.2458
1606989745825858527,714,1606989745825521455,world,2690399.7297,1194449.968,436.2458
1606989745998636893,715,1606989745998376414,world,2690399.7297,1194449.9681,436.2458
1606989746078732402,716,1606989746078371416,world,2690399.7297,1194449.968,436.2458
1606989746183378341,717,1606989746183144206,world,2690399.7298,1194449.9685,436.2459
1606989746290348025,718,1606989746290116481,world,2690399.7298,1194449.9685,436.2458
1606989746386246747,719,1606989746386032244,world,2690399.7297,1194449.9681,436.2458
1606989746546200349,720,1606989746545888028,world,2690399.7297,1194449.9683,436.2458
1606989746634205517,721,1606989746633931563,world,2690399.7297,1194449.9682,436.2458
1606989746769812665,722,1606989746769633433,world,2690399.7297,1194449.9682,436.2458
1606989746871797877,723,1606989746871560775,world,2690399.7297,1194449.9684,436.2458
1606989746979813955,724,1606989746979546379,world,2690399.7297,1194449.9681,436.2458
1606989747107817300,725,1606989747107474866,world,2690399.7298,1194449.9686,436.2458
1606989747245710295,726,1606989747245379752,world,2690399.7297,1194449.9683,436.2458
