%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606990959508259302,6271,1606990959198866779,world,2690405.3035,1194459.7026,435.6625
1606990959508294189,6272,1606990959299707389,world,2690405.3036,1194459.7027,435.6625
1606990959508330017,6273,1606990959466629554,world,2690405.3038,1194459.7029,435.6625
1606990959572765201,6274,1606990959572489795,world,2690405.3038,1194459.7029,435.6625
1606990959651680752,6275,1606990959651451312,world,2690405.3038,1194459.7029,435.6625
1606990959795490263,6276,1606990959795262618,world,2690405.3036,1194459.7028,435.6625
1606990959903522481,6277,1606990959903292065,world,2690405.3037,1194459.7028,435.6625
1606990960037482151,6278,1606990960037220574,world,2690405.3038,1194459.7029,435.6624
1606990960173244499,6279,1606990960173047546,world,2690405.3038,1194459.7029,435.6625
1606990960253065931,6280,1606990960252876614,world,2690405.3034,1194459.7026,435.6625
1606990960410099761,6281,1606990960409809231,world,2690405.3038,1194459.7029,435.6624
1606990960542983072,6282,1606990960542752955,world,2690405.3037,1194459.7028,435.6625
1606990960666040072,6283,1606990960665721495,world,2690405.3036,1194459.7027,435.6625
1606990960851574881,6284,1606990960851352417,world,2690405.3037,1194459.7028,435.6625
1606990960943484015,6285,1606990960943304050,world,2690405.3036,1194459.7027,435.6625
1606990961094522969,6286,1606990961094249041,world,2690405.3037,1194459.7028,435.6625
1606990961315368117,6287,1606990961315052017,world,2690405.3036,1194459.7027,435.6625
1606990961386154378,6288,1606990961385899913,world,2690405.3036,1194459.7027,435.6625
1606990961402320415,6289,1606990961402039441,world,2690405.3037,1194459.7028,435.6625
1606990961460222662,6290,1606990961459965156,world,2690405.3038,1194459.7029,435.6624
1606990961551121726,6291,1606990961550894040,world,2690405.3039,1194459.7029,435.6624
1606990961644970047,6292,1606990961644773138,world,2690405.3036,1194459.7027,435.6625
1606990961795998100,6293,1606990961795680721,world,2690405.3036,1194459.7027,435.6625
1606990961902812832,6294,1606990961902559116,world,2690405.3039,1194459.7029,435.6624
1606990962029840231,6295,1606990962029562507,world,2690405.3038,1194459.7029,435.6625
1606990962185569208,6296,1606990962185357517,world,2690405.3036,1194459.7027,435.6625
1606990962287453744,6297,1606990962287252865,world,2690405.3036,1194459.7027,435.6625
1606990962373675034,6298,1606990962373299183,world,2690405.3037,1194459.7028,435.6625
1606990962497386841,6299,1606990962497138303,world,2690405.3039,1194459.7029,435.6624
1606990962625278278,6300,1606990962625001499,world,2690405.3038,1194459.7029,435.6624
1606990962702346942,6301,1606990962701996694,world,2690405.3036,1194459.7027,435.6625
