%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606991353625007739,9366,1606991353451470169,world,2690405.3918,1194461.9443,436.1754
1606991353625036905,9367,1606991353618206836,world,2690405.3918,1194461.9443,436.1753
1606991353693510989,9368,1606991353693285843,world,2690405.3917,1194461.9442,436.1754
1606991353828326975,9369,1606991353828048297,world,2690405.3918,1194461.9443,436.1753
1606991354026066217,9370,1606991354025883935,world,2690405.3916,1194461.9441,436.1753
1606991354135267492,9371,1606991354134941854,world,2690405.3918,1194461.9443,436.1753
1606991354279061441,9372,1606991354278756189,world,2690405.3916,1194461.9441,436.1753
1606991354349785968,9373,1606991354349598900,world,2690405.3917,1194461.9442,436.1754
1606991354425955812,9374,1606991354425684390,world,2690405.3918,1194461.9443,436.1753
1606991354482984008,9375,1606991354482633673,world,2690405.3918,1194461.9443,436.1753
1606991354584898196,9376,1606991354584524611,world,2690405.3918,1194461.9443,436.1753
1606991354708784096,9377,1606991354708450699,world,2690405.3919,1194461.9444,436.1753
1606991354861379356,9378,1606991354861178264,world,2690405.3918,1194461.9442,436.1753
1606991354971602219,9379,1606991354971263050,world,2690405.3918,1194461.9442,436.1753
1606991355067352739,9380,1606991355067055931,world,2690405.3917,1194461.9442,436.1753
1606991355178471019,9381,1606991355178105815,world,2690405.3917,1194461.9442,436.1753
1606991355320208327,9382,1606991355319925375,world,2690405.3917,1194461.9441,436.1753
1606991355456274071,9383,1606991355455885734,world,2690405.3918,1194461.9442,436.1753
1606991355544097844,9384,1606991355543762007,world,2690405.3916,1194461.944,436.1753
1606991355660954312,9385,1606991355660672772,world,2690405.3917,1194461.9442,436.1753
1606991355795739581,9386,1606991355795472306,world,2690405.3918,1194461.9442,436.1753
1606991355899530175,9387,1606991355899333282,world,2690405.3917,1194461.9442,436.1753
1606991356050710944,9388,1606991356050358177,world,2690405.3919,1194461.9444,436.1753
1606991356137621973,9389,1606991356137261765,world,2690405.3917,1194461.9442,436.1754
1606991356227457700,9390,1606991356227147817,world,2690405.3917,1194461.9442,436.1753
1606991356430365040,9391,1606991356429985845,world,2690405.3919,1194461.9444,436.1753
1606991356547165557,9392,1606991356546876634,world,2690405.3918,1194461.9443,436.1753
1606991356654181131,9393,1606991356653825026,world,2690405.3919,1194461.9444,436.1753
1606991356717823307,9394,1606991356717581073,world,2690405.3918,1194461.9442,436.1753
1606991356851796636,9395,1606991356851555591,world,2690405.3919,1194461.9444,436.1753
1606991356945826083,9396,1606991356945462393,world,2690405.3918,1194461.9443,436.1753
1606991357089710089,9397,1606991357089422761,world,2690405.3916,1194461.9441,436.1753
1606991357265689167,9398,1606991357265286518,world,2690405.3917,1194461.9441,436.1753
1606991357375536542,9399,1606991357375212213,world,2690405.3919,1194461.9444,436.1753
1606991357503389424,9400,1606991357503088406,world,2690405.3918,1194461.9443,436.1753
1606991357551375921,9401,1606991357551032894,world,2690405.3918,1194461.9443,436.1753
1606991357663336117,9402,1606991357663013777,world,2690405.3918,1194461.9443,436.1753
1606991357800935572,9403,1606991357800696947,world,2690405.3918,1194461.9442,436.1753
1606991358054817086,9404,1606991358054507983,world,2690405.3916,1194461.944,436.1754
1606991358134740871,9405,1606991358134487052,world,2690405.3917,1194461.9442,436.1753
1606991358251889258,9406,1606991358251514065,world,2690405.3916,1194461.9441,436.1753
1606991358374583079,9407,1606991358374317915,world,2690405.3919,1194461.9443,436.1753
1606991358470486488,9408,1606991358470214574,world,2690405.3918,1194461.9443,436.1753
1606991358582552556,9409,1606991358582201568,world,2690405.3917,1194461.9442,436.1753
1606991358723253851,9410,1606991358722951417,world,2690405.3916,1194461.9441,436.1753
