%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1606828498516671228,2348797,1606828498506174399,imu_link,0.0019447084050625563,0.0006686014821752906,0.1391638070344925,0.9902672171592712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999048233032227,0.044858142733573914,0.2313411384820938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010913806036114693,-0.008815960958600044,0.3332217335700989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498516718917,2348798,1606828498506280328,imu_link,0.0019447084050625563,0.0006686014821752906,0.1391638070344925,0.9902672171592712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999048233032227,0.044858142733573914,0.2313411384820938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010913806036114693,-0.008815960958600044,0.3332217335700989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498516769405,2348799,1606828498506388274,imu_link,0.0019468410173431039,0.0006703572580590844,0.1391635686159134,0.9902673363685608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999022483825684,0.04502343013882637,0.23161108791828156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010931530967354774,-0.0012028872733935714,0.3255615830421448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498516785204,2348800,1606828498506455381,imu_link,0.0019468410173431039,0.0006703572580590844,0.1391635686159134,0.9902673363685608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999022483825684,0.04502343013882637,0.23161108791828156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010931530967354774,-0.0012028872733935714,0.3255615830421448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498516814171,2348801,1606828498506525663,imu_link,0.0019451353000476956,0.0006699571968056262,0.1391664296388626,0.9902669191360474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999351501464844,0.04500456526875496,0.23141130805015564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012423261068761349,0.0013403571210801601,0.31386885046958923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498516867379,2348802,1606828498506601136,imu_link,0.0019451353000476956,0.0006699571968056262,0.1391664296388626,0.9902669191360474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999351501464844,0.04500456526875496,0.23141130805015564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012423261068761349,0.0013403571210801601,0.31386885046958923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498516886870,2348803,1606828498506688181,imu_link,0.0019456668524071574,0.0006685369880869985,0.1391667127609253,0.9902668595314026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999383926391602,0.04483485966920853,0.23144900798797607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02138117328286171,-0.006519061513245106,0.3220959007740021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498516906573,2348804,1606828498506763853,imu_link,0.0019456668524071574,0.0006685369880869985,0.1391667127609253,0.9902668595314026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999383926391602,0.04483485966920853,0.23144900798797607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02138117328286171,-0.006519061513245106,0.3220959007740021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498519713127,2348805,1606828498506842818,imu_link,0.0019461552146822214,0.0006707091233693063,0.13917003571987152,0.9902663826942444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999768257141113,0.0450727753341198,0.23153918981552124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013510406017303467,0.003188289701938629,0.32146692276000977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606828498519738317,2348806,1606828498506918793,imu_link,0.0019461552146822214,0.0006707091233693063,0.13917003571987152,0.9902663826942444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.999768257141113,0.0450727753341198,0.23153918981552124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013510406017303467,0.003188289701938629,0.32146692276000977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
