%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606827792129475060,4069,1606827792129236377,world,2690397.6725,1194449.9395,438.2232
1606827792316170751,4070,1606827792316005109,world,2690397.6719,1194449.9398,438.223
1606827792459931653,4071,1606827792459792181,world,2690397.6723,1194449.9396,438.2233
1606827792522062372,4072,1606827792521838792,world,2690397.6723,1194449.9397,438.2234
1606827792623895843,4073,1606827792623695192,world,2690397.6722,1194449.9401,438.2234
1606827792727677885,4074,1606827792727478621,world,2690397.6722,1194449.9397,438.2231
1606827792839613913,4075,1606827792839372128,world,2690397.6722,1194449.9399,438.2282
1606827792934348438,4076,1606827792934191385,world,2690397.6721,1194449.94,438.2275
1606827793068339711,4077,1606827793068125355,world,2690397.6723,1194449.9398,438.2282
1606827793158284338,4078,1606827793158049763,world,2690397.6722,1194449.9399,438.2273
1606827793346951680,4079,1606827793346751890,world,2690397.6723,1194449.94,438.2277
1606827793514717122,4080,1606827793514562391,world,2690397.672,1194449.94,438.2273
1606827793588681520,4081,1606827793588496371,world,2690397.6724,1194449.9399,438.2277
1606827793762399251,4082,1606827793762215895,world,2690397.6719,1194449.9398,438.2274
1606827793809489908,4083,1606827793809271334,world,2690397.6723,1194449.9397,438.2278
1606827794022182407,4084,1606827794021967637,world,2690397.6721,1194449.9397,438.2279
1606827794126948722,4085,1606827794126811696,world,2690397.6721,1194449.94,438.2275
1606827794251784976,4086,1606827794251645994,world,2690397.672,1194449.9398,438.2276
1606827794343831949,4087,1606827794343625466,world,2690397.6723,1194449.9398,438.2275
1606827794375534755,4088,1606827794375442575,world,2690397.6723,1194449.9398,438.2279
1606827794437729297,4089,1606827794437507927,world,2690397.6722,1194449.9398,438.2274
1606827794533739541,4090,1606827794533486598,world,2690397.6725,1194449.9396,438.2274
1606827794667400611,4091,1606827794667241248,world,2690397.6725,1194449.9399,438.2275
1606827794811472583,4092,1606827794811219311,world,2690397.6722,1194449.9399,438.2277
1606827795067020342,4093,1606827795066834122,world,2690397.6724,1194449.9399,438.2276
1606827795143862605,4094,1606827795143692141,world,2690397.6722,1194449.9398,438.2274
1606827795224035725,4095,1606827795223770323,world,2690397.6721,1194449.9398,438.2274
1606827795406811600,4096,1606827795406573267,world,2690397.6726,1194449.9397,438.228
1606827795528609757,4097,1606827795528406427,world,2690397.6718,1194449.9399,438.2277
1606827795640459162,4098,1606827795640272794,world,2690397.6722,1194449.9399,438.228
1606827795784293634,4099,1606827795784114283,world,2690397.6723,1194449.94,438.2272
1606827796084932488,4100,1606827796084751050,world,2690397.6716,1194449.94,438.2276
1606827796133073411,4101,1606827796132804834,world,2690397.6723,1194449.9398,438.2278
1606827796196908318,4102,1606827796196677101,world,2690397.6721,1194449.94,438.2276
1606827796393683947,4103,1606827796393458163,world,2690397.672,1194449.9399,438.2279
1606827796558519122,4104,1606827796558298921,world,2690397.6725,1194449.94,438.2277
1606827796601476280,4105,1606827796601276474,world,2690397.6716,1194449.9399,438.2276
1606827796697286308,4106,1606827796697084638,world,2690397.6719,1194449.9401,438.2277
1606827796825193158,4107,1606827796825011604,world,2690397.6719,1194449.9398,438.2284
1606827796905184119,4108,1606827796904944286,world,2690397.6718,1194449.94,438.2286
1606827796976043641,4109,1606827796975846793,world,2690397.6723,1194449.94,438.2294
1606827797017084539,4110,1606827797016872817,world,2690397.6723,1194449.94,438.229
1606827797120800700,4111,1606827797120651799,world,2690397.6717,1194449.9401,438.2295
1606827797258719479,4112,1606827797258514953,world,2690397.6719,1194449.9398,438.2288
1606827797338707254,4113,1606827797338466621,world,2690397.672,1194449.94,438.2294
1606827797602307062,4114,1606827797602115647,world,2690397.6718,1194449.94,438.2284
1606827797730235598,4115,1606827797729998124,world,2690397.672,1194449.9399,438.2283
1606827797894953353,4116,1606827797894751663,world,2690397.6718,1194449.94,438.2279
1606827798017726374,4117,1606827798017573767,world,2690397.6722,1194449.9404,438.2278
1606827798055722741,4118,1606827798055553623,world,2690397.6721,1194449.9399,438.2274
1606827798140718420,4119,1606827798140531854,world,2690397.6724,1194449.94,438.2276
1606827798266494150,4120,1606827798266318861,world,2690397.672,1194449.9399,438.2275
1606827798370380411,4121,1606827798370208860,world,2690397.6725,1194449.94,438.2278
1606827798503218275,4122,1606827798503074705,world,2690397.6719,1194449.9398,438.2273
1606827798656994795,4123,1606827798656840018,world,2690397.6722,1194449.9397,438.2274
1606827798731926271,4124,1606827798731760202,world,2690397.6724,1194449.9399,438.2273
1606827799041689005,4125,1606827799041436005,world,2690397.6719,1194449.9398,438.2276
1606827799041712548,4126,1606827799041519649,world,2690397.6723,1194449.9398,438.2278
1606827799145587608,4127,1606827799145367631,world,2690397.6722,1194449.9399,438.2277
1606827799283382065,4128,1606827799283229618,world,2690397.6715,1194449.9403,438.2275
1606827799354380203,4129,1606827799354190899,world,2690397.6722,1194449.94,438.2274
1606827799526015053,4130,1606827799525886886,world,2690397.6716,1194449.9402,438.2271
1606827799630056802,4131,1606827799629834798,world,2690397.6699,1194449.9411,438.2268
1606827799701008963,4132,1606827799700808175,world,2690397.6698,1194449.9411,438.2272
1606827799780941407,4133,1606827799780734823,world,2690397.6702,1194449.941,438.2278
1606827799882742619,4134,1606827799882520549,world,2690397.6705,1194449.941,438.2269
1606827800026588950,4135,1606827800026382759,world,2690397.6704,1194449.941,438.2276
